AreaBurned,BurnTime,LinesBuilt,AvgWind,numBreaches,numResponses
65.383983,20,3090,88.40956438,7,3
205.937307,50.5,15900,31.21840859,23,18
177.9156,65,12690,36.67179737,22,15
103.4134425,40,5190,19.50355546,4,3
212.164353,81,15360,28.17789901,18,13
123.206553,56,7410,10.75601221,8,6
68.052717,14.5,2340,11.63801141,1,0
199.4878665,79,14880,2.723140724,22,17
115.200351,40,7500,14.02815939,10,7
177.026022,51.5,12450,2.454121525,21,14
120.09303,39.5,7290,15.22786075,7,5
91.181745,32,4530,21.75127831,4,2
140.998113,36,8730,16.0951252,16,11
157.900095,48,10710,5.457759859,15,12
107.638938,36,6660,19.70244866,7,5
89.402589,22.5,3840,16.16962053,2,0
98.298369,30.5,5070,25.3966036,8,7
173.46771,58.5,11550,8.458175886,19,17
80.951598,24,4590,75.37741543,6,1
189.035325,47.5,13080,28.50398215,19,13
222.839289,66.5,16110,10.23938569,24,21
158.1224895,45,10470,13.22600115,13,10
185.2546185,62.5,13500,5.170961238,18,13
108.083727,33,6240,11.11633747,9,3
164.127141,58,10740,29.47527243,17,13
80.2844145,20,3300,15.33647289,1,0
144.556425,57,9150,4.555551626,13,11
195.0399765,46.5,15030,12.55985276,23,16
124.54092,36,8520,40.1285577,15,13
131.4351495,34.5,7320,19.30103716,8,3
195.0399765,52,14370,31.67062214,18,13
168.130242,74.5,11730,35.93858012,15,10
228.8439405,81.5,17820,13.48567622,24,21
138.9965625,54.5,8760,13.91334937,14,11
204.3805455,93.5,14940,44.96372527,22,19
136.995012,39.5,8250,24.23407715,11,7
188.8129305,88,13050,34.87619412,18,14
113.865984,23,6630,26.1006429,9,4
205.937307,59,15300,6.571474047,21,18
150.5610765,54.5,9360,5.25810186,14,12
161.903196,69,11700,15.56572926,17,12
202.823784,52.5,13590,31.30365394,21,14
94.295268,26.5,4530,14.10884642,6,2
80.951598,27.5,3750,12.98665862,4,3
179.0275725,71,13260,18.46807258,19,15
166.1286915,50,10440,20.77582082,13,10
64.2720105,14.5,2280,10.99952399,1,0
137.6621955,40,9360,25.25964987,15,11
196.3743435,56,13290,7.632980756,17,14
199.0430775,69.5,14010,6.449161122,23,18
102.30147,32.5,5250,16.15697234,4,2
188.145747,57,13680,3.426991968,25,19
121.872186,30.5,6930,18.46054976,9,4
114.310773,34.5,6810,25.83824917,10,5
176.3588385,42.5,11340,12.3246597,18,12
179.694756,72.5,13380,16.88775422,18,17
175.9140495,62.5,12090,42.7284258,19,15
111.8644335,44.5,6810,34.52529903,11,8
136.7726175,38.5,8100,30.71711899,11,4
121.2050025,41,7080,11.79294142,7,2
110.752461,33.5,5160,14.741886,4,1
124.096131,47.5,7980,51.55765556,15,11
201.2670225,59,15000,13.91799632,24,19
151.22826,58.5,10590,20.60288052,18,15
148.7819205,43,9720,27.19943548,14,11
130.323177,44,8100,25.95175483,15,11
150.1162875,31,9240,19.43566987,19,12
211.9419585,107,15510,64.36386526,26,21
219.5033715,111.5,16590,26.12233328,20,18
123.651342,52.5,8040,24.84219805,13,11
165.6839025,52,10980,10.15009386,18,15
148.7819205,45.5,9090,21.5611905,13,10
235.9605645,51,19350,41.17364981,28,21
173.6901045,54,12660,43.63007369,19,14
142.33248,53,9180,21.97921255,15,11
190.369692,51.5,13260,7.000243386,18,14
202.6013895,53,14010,11.17724711,23,18
143.4444525,43,8700,10.73388553,13,9
218.836188,47.5,15990,27.84294973,25,17
152.7850215,47,9660,18.37208574,16,11
130.1007825,40,7920,6.399228565,11,7
64.2720105,14.5,2280,11.59297728,0,0
85.399488,30,5400,83.50003356,8,4
128.98881,30.5,7950,16.06636242,13,5
138.329379,61,9420,6.703957948,13,11
191.704059,63.5,13410,13.82397639,21,16
129.878388,57,7740,8.008217781,12,10
251.0833905,58,18660,12.3572579,26,21
189.480114,41,13290,34.17868794,22,17
85.399488,25.5,4710,57.50901225,6,3
175.0244715,52.5,11520,8.931445677,18,14
169.2422145,51,10500,24.30246253,16,10
175.0244715,49.5,12540,53.01982007,22,15
109.1956995,28,5910,12.32983851,7,4
94.0728735,42,4830,49.86874344,5,3
163.237563,43,10830,25.90342838,18,14
158.5672785,50,11100,41.11690811,18,14
123.206553,36.5,6990,11.14428222,10,5
156.120939,44,12300,56.23755707,22,15
188.8129305,102,13530,45.55467338,21,15
196.8191325,47,14070,6.433517521,20,15
104.525415,28.5,5430,25.82777574,9,6
96.2968185,28.5,4710,30.87133148,4,1
203.713362,89.5,15150,10.26951119,22,19
88.2906165,21.5,4440,8.27137436,10,4
106.9717545,37.5,5910,5.903709863,9,7
116.7571125,36,5970,27.59394637,5,3
96.074424,36,4920,2.44670961,5,3
103.635837,25.5,5040,22.90028782,5,1
145.890792,40.5,10560,56.1624605,16,13
202.378995,54.5,14040,24.58380815,22,14
137.88459,35,8070,46.00289973,10,7
150.1162875,75.5,10350,4.626976626,13,11
146.1131865,39.5,9270,35.70000763,17,12
125.6528925,35,6870,27.31874638,8,4
103.635837,32,5640,19.68089495,8,5
80.2844145,19.5,3270,2.76620863,2,1
155.67615,46,11490,6.481939514,20,16
114.0883785,37.5,6780,4.295663947,11,10
114.310773,34,6360,39.14600271,11,9
177.2484165,67.5,11850,8.577304356,17,16
187.700958,65,13590,14.57577402,22,16
119.8706355,36,6930,16.33129425,9,5
184.142646,64.5,13050,44.61543888,18,14
142.5548745,43,9450,36.73062772,13,10
192.148848,71,12660,52.25628567,24,20
112.976406,54.5,7320,10.24472751,10,9
124.985709,29.5,7410,23.68016229,9,3
60.491304,14,2220,23.28753044,1,0
112.531617,32.5,6720,24.38767301,7,5
