AreaBurned,BurnTime,LinesBuilt,AvgWind,numBreaches,numResponses
61.6032765,19.5,5490,86.77560991,11,0
211.0523805,46.5,14340,32.49568961,26,14
237.962115,59,17910,38.04925777,28,14
185.921802,66.5,11670,20.84954319,16,11
132.3247275,33,8070,15.44030872,12,4
150.1162875,51,8790,11.69905108,9,4
68.052717,14.5,5400,11.63801141,6,0
281.106648,56,22050,3.405064981,30,18
225.063234,83,16290,9.125887559,23,15
261.091143,83.5,19860,2.061992962,33,18
180.584334,69,13020,16.00663675,18,12
217.057032,84,15570,14.54283811,23,16
280.21707,66.5,21780,11.67860476,34,21
235.73817,69,17040,3.996330578,23,17
202.6013895,61.5,15180,34.28987216,22,15
249.3042345,96.5,19170,12.16158109,30,21
158.789673,70.5,10080,21.55383059,13,5
302.6789145,71,22530,9.673140672,32,21
91.181745,35,7050,96.44204475,12,4
171.0213705,66,11520,30.32509676,18,9
253.52973,72,17730,10.90979662,30,21
168.7974255,58,11160,22.75542297,13,8
168.130242,58,11160,5.471662172,16,9
119.648241,34,6660,11.20022328,9,0
235.9605645,60,16650,28.74410539,25,17
199.710261,79.5,13680,6.37471246,18,12
185.921802,60,13470,4.428567916,22,14
207.716463,55.5,14490,10.74062953,24,13
121.872186,42,8880,54.29381609,18,8
167.0182695,62,10290,27.16695698,12,5
209.05083,60,14520,29.31588647,20,10
148.3371315,43,9630,24.24699551,13,4
260.201565,67.5,19890,11.97096033,25,18
164.7943245,40,11010,12.24765305,15,5
69.1646895,25,5400,75.37747988,12,0
232.4022525,59.5,16440,20.7077251,25,15
245.523528,70.5,18450,34.59122458,26,19
215.0554815,79.5,14430,10.40068286,23,16
232.8470415,77,17880,5.479520425,26,18
238.406904,72.5,17190,5.08305889,26,15
213.2763255,67,15300,15.94893186,26,17
236.8501425,77,16980,39.25145511,24,13
228.8439405,85.5,16410,14.08269074,23,15
231.735069,76.5,17070,6.56383989,23,16
193.483215,68.5,13380,18.89938801,22,13
236.8501425,100.5,16620,17.24177509,22,13
64.2720105,14.5,5280,10.99952399,4,0
184.3650405,70.5,12210,19.26293741,20,10
245.968317,68,17550,6.762532989,22,14
213.053931,63,15270,6.884691947,23,14
128.099232,42,6900,13.55910223,4,0
244.8563445,69.5,18150,3.463632904,33,21
145.2236085,49,8250,17.15206245,9,0
179.694756,51.5,11850,24.57669346,18,10
175.9140495,40,11160,12.81709933,19,8
243.5219775,76.5,19020,16.23857064,27,21
161.458407,59,10410,44.08531539,18,7
218.6137935,78.5,16440,25.85356205,22,13
204.8253345,75.5,13860,23.09479555,17,8
111.8644335,55.5,6180,12.87982308,7,1
177.9156,68,10920,14.97880057,13,9
176.136444,63.5,12720,42.85193989,22,10
209.940408,60,14730,13.73897671,25,15
246.857895,66,18330,19.68337302,29,18
198.5982885,51,13530,32.79147336,20,12
254.1969135,63.5,18240,28.13823035,25,16
228.8439405,52.5,15600,22.52544868,29,12
76.948497,21.5,5400,73.89426122,10,0
239.0740875,63.5,18060,36.46149347,21,16
215.9450595,67,15330,23.92292855,22,13
269.986923,76.5,20220,9.11242412,29,18
260.8687485,75.5,18660,16.48632121,25,16
224.618445,97,16650,43.32204493,26,15
177.6932055,51,12870,45.09277284,25,11
304.680465,73.5,21840,17.03221331,32,21
205.2701235,50.5,13890,7.115229267,23,11
212.609142,52,14490,11.18983191,23,11
168.7974255,65.5,10140,7.281336054,13,4
227.9543625,56,15660,25.8016962,27,14
196.3743435,57,13050,19.56852483,22,14
144.111636,51,8880,5.578998931,11,3
64.2720105,14.5,5280,11.59297728,1,0
