AreaBurned,BurnTime,LinesBuilt
127.654443,61.5,19380
AreaBurned,BurnTime,LinesBuilt
77.61568050000001,38.0,11010
AreaBurned,BurnTime,LinesBuilt
69.387084,29.5,11820
AreaBurned,BurnTime,LinesBuilt
91.8489285,50.0,15750
AreaBurned,BurnTime,LinesBuilt
84.50991,35.5,17610
AreaBurned,BurnTime,LinesBuilt
145.2236085,62.0,25230
103.8582315,61.5,16590
118.5362685,59.0,18720
69.831873,30.5,15240
99.8551305,39.5,18480
AreaBurned,BurnTime,LinesBuilt
134.5486725,78.0,21090
AreaBurned,BurnTime,LinesBuilt
116.3123235,57.5,19470
AreaBurned,BurnTime,LinesBuilt
66.49595550000001,13.5,10860
AreaBurned,BurnTime,LinesBuilt
68.052717,22.0,12720
AreaBurned,BurnTime,LinesBuilt
88.7354055,32.5,17760
AreaBurned,BurnTime,LinesBuilt
67.38553350000001,19.5,11460
AreaBurned,BurnTime,LinesBuilt
179.249967,92.0,28320
AreaBurned,BurnTime,LinesBuilt
79.172442,33.5,15540
AreaBurned,BurnTime,LinesBuilt
97.85358000000001,48.0,20670
91.181745,35.0,16830
180.584334,114.0,31290
74.94694650000001,32.0,14670
134.5486725,65.5,26160
